"key";"creationDate";"modificationDate";"de";"en"
"Login";1460395362;1460395362;"Einloggen";
"Logout";1460395363;1460395363;"Ausloggen";
"Or";1460395364;1460395364;"oder";
"Sign up";1460395365;1460395365;"Registrieren";
"Email";1460395366;1460395366;"E-Mail";
"Password";1460395367;1460395367;"Passwort";
"Wrong email or password";1460395367;1460395367;"E-Mail oder Passwort inkorrekt.";
"Remember me";1460395368;1460395368;"Eingeloggt bleiben";
"Forgot your password?";1460395369;1460395369;"Passwort vergessen?";
"Reset your password";1460395370;1460395370;"Passwort zurücksetzen";
"Get a new password by filling out the form below.";1460395371;1460395371;"Füllen Sie das untenstehende Formular aus, um ein neues Passwort zu erhalten.";
"Reset password";1460395372;1460395372;"Passwort zurücksetzen";
"Change password";1460395373;1460395373;"Passwort ändern";
"First name";1460395374;1460395374;"Vorname";
"Last name";1460395375;1460395375;"Nachname";
"Email address";1460395376;1460395376;"E-Mail-Adresse";
"Confirm password";1460395377;1460395377;"Passwort bestätigen";
"I agree";1460395378;1460395378;"Ich bin einverstanden";
"Create account";1460395379;1460395379;"Account erstellen";
"By clicking %s, you agree to %s";1460395380;1460395380;"Mit dem Abschluss der %s sind Sie mit den %s einverstanden";
"Terms and Conditions";1460395381;1460395381;"Allgemeinen Bestimmungen";
"Register";1460395382;1460395382;"Registrierung";
"You account was created successfully and must be activated by site stuff.";1460395383;1460395383;"Ihr Account wurde erfolgreich erstellt und wird so schnell wie möglich von einem Administrator freigeschaltet.";
"You account was created successfully. You can login with your email and password.";1460395384;1460395384;"Ihr Account wurde erfolgreich erstellt. Sie können sich mit den angegebenen Daten einloggen.";
"You account was created successfully. Check your email and confirm your account by clicking activation link.";1460395385;1460395385;"Ihr Account wurde erfolgreich erstellt. Bitte überprüfen Sie Ihren E-Mail Eingang und bestätigen Sie Ihren Account.";
"Invalid confirmation link.";1460395386;1460395386;"Bestätigungs-Link ist ungültig.";
"Your account is now active, you can login using email and password.";1460395387;1460395387;"Ihr Account ist ab sofort aktiv. Bitte loggen Sie sich mit Ihren angegebenen Zugangsdaten ein.";
"Provide valid email address.";1460395388;1460395388;"Bitte geben Sie eine gültige E-Mail-Adresse an.";
"User with given email not exist.";1460395389;1460395389;"Es existiert kein Benutzer mit dieser Adresse.";
"Password reset confirmation was sent to given email address.";1460395390;1460395390;"Ein Link für die Zurücksetzung Ihres Passwortes wurde versandt.";
"Invalid password reset link.";1460395391;1460395391;"Ungültiger Zurücksetzen-Link.";
"Your password has been successfully changed.";1460395392;1460395392;"Ihr Passwort wurde erfolgreich geändert.";
"Do you have an account?";1460395393;1460395393;"Haben Sie bereits einen Account?";
"Not a member yet?";1460395394;1460395394;"Noch kein registriertes Mitglied?";
"You are logged in as";1460395395;1460395395;"Sie sind eingeloggt als";
"Update profile";1460395395;1460395395;"Profil aktualisieren";
"Update account";1460395395;1460395395;"Account aktualisieren";
"current password";1460395395;1460395395;"Aktuelles Passwort";
"change password";1460395395;1460395395;"Passwort ändern";
"Your password has been successfully changed. Please login again.";1460395395;1460395395;"Passwort wurde erfolgreich geändert. Bitte melden Sie sich erneut an.";